step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds,avg_infection
178,5,8,0,0,5,1989,10,0,0.00
179,5,8,0,0,5,1989,10,0,0.00
180,5,8,0,0,5,1989,10,0,0.00
181,5,9,0,0,5,1988,10,0,0.20
182,5,9,0,0,5,1988,10,0,0.00
183,5,9,0,0,5,1988,10,0,0.00
184,5,9,0,0,5,1988,10,0,0.00
185,5,9,0,0,5,1988,10,0,0.00
186,5,9,0,0,5,1988,10,0,0.00
187,5,9,0,0,5,1988,10,0,0.00
188,5,9,0,0,5,1988,10,0,0.00
189,5,9,0,0,5,1988,10,0,0.00
190,5,9,0,0,5,1988,10,0,0.00
191,5,9,0,0,5,1988,10,0,0.00
192,5,9,0,0,5,1988,10,0,0.00
193,5,9,0,0,5,1988,10,0,0.00
194,5,9,0,0,5,1988,10,0,0.00
195,5,9,0,0,5,1988,10,0,0.00
196,5,9,0,0,5,1988,10,0,0.00
197,5,9,0,0,5,1988,10,0,0.00
198,5,9,0,0,5,1988,10,0,0.00
199,5,9,0,0,5,1988,10,0,0.00
200,5,9,0,0,5,1988,10,0,0.00
201,5,9,0,0,5,1988,10,0,0.00
202,5,9,0,0,5,1988,10,0,0.00
203,5,9,0,0,5,1988,10,0,0.00
204,5,9,0,0,5,1988,10,0,0.00
205,5,9,0,0,5,1988,10,0,0.00
206,5,9,0,0,5,1988,10,0,0.00
207,5,9,0,0,5,1988,10,0,0.00
208,5,9,0,0,5,1988,10,0,0.00
209,5,9,0,0,5,1988,10,0,0.00
210,5,9,0,0,5,1988,10,0,0.00
211,5,9,0,0,5,1988,10,0,0.00
212,5,9,0,0,5,1988,10,0,0.00
213,5,9,0,0,5,1988,10,0,0.00
214,5,9,0,0,5,1988,10,0,0.00
215,5,9,0,0,5,1988,10,0,0.00
216,5,9,0,0,5,1988,10,0,0.00
217,5,9,0,0,5,1988,10,0,0.00
218,5,9,0,0,5,1988,10,0,0.00
219,5,9,0,0,5,1988,10,0,0.00
220,5,9,0,0,5,1988,10,0,0.00
221,5,9,0,0,5,1988,10,0,0.00
222,5,9,0,0,5,1988,10,0,0.00
223,5,9,0,0,5,1988,10,0,0.00
224,5,9,0,0,5,1988,10,0,0.00
225,5,9,0,0,5,1988,10,0,0.00
226,5,9,0,0,5,1988,10,0,0.00
227,5,9,0,0,5,1988,10,0,0.00
228,5,9,0,0,5,1988,10,0,0.00
229,5,9,0,0,5,1988,10,0,0.00
230,5,9,0,0,5,1988,10,0,0.00
231,5,9,0,0,5,1988,10,0,0.00
232,5,9,0,0,5,1988,10,0,0.00
