step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
195,9,16,0,0,8,1983,10,0
196,9,16,0,0,8,1983,10,0
197,9,16,0,0,8,1983,10,0
198,9,16,0,0,8,1983,10,0
199,10,15,0,0,8,1983,10,0
200,10,15,0,0,8,1983,10,0
201,10,15,0,0,8,1983,10,0
202,10,15,0,0,8,1983,10,0
203,10,15,0,0,8,1983,10,0
204,10,15,0,0,8,1983,10,0
205,10,15,0,0,8,1983,10,0
206,10,15,0,0,8,1983,10,0
207,10,15,0,0,8,1983,10,0
208,10,15,0,0,8,1983,10,0
209,10,15,0,0,8,1983,10,0
210,10,15,0,0,8,1983,10,0
211,10,15,0,0,8,1983,10,0
212,10,15,0,0,8,1983,10,0
213,10,15,0,0,8,1983,10,0
214,11,14,0,0,9,1983,10,0
215,12,14,0,0,10,1982,10,0
216,12,14,0,0,10,1982,10,0
217,12,14,0,0,10,1982,10,0
218,12,14,0,0,10,1982,10,0
219,12,14,0,0,10,1982,10,0
220,12,14,0,0,10,1982,10,0
221,13,13,0,0,11,1982,10,0
222,13,13,0,0,11,1982,10,0
223,13,13,0,0,11,1982,10,0
224,13,13,0,0,11,1982,10,0
225,13,14,0,0,11,1981,10,0
226,13,14,0,0,11,1981,10,0
227,13,14,0,0,11,1981,10,0
228,13,14,0,0,11,1981,10,0
229,13,14,0,0,11,1981,10,0
230,13,14,0,0,11,1981,10,0
231,13,14,0,0,11,1981,10,0
232,13,14,0,0,11,1981,10,0
233,13,14,0,0,11,1981,10,0
234,13,14,0,0,11,1981,10,0
235,13,14,0,0,11,1981,10,0
236,13,14,0,0,11,1981,10,0
237,13,14,0,0,11,1981,10,0
238,13,14,0,0,11,1981,10,0
239,13,14,0,0,11,1981,10,0
240,13,14,0,0,11,1981,10,0
241,13,14,0,0,11,1981,10,0
242,13,14,0,0,11,1981,10,0
243,13,14,0,0,11,1981,10,0
244,13,14,0,0,11,1981,10,0
245,13,14,0,0,11,1981,10,0
246,13,14,0,0,11,1981,10,0
247,13,14,0,0,11,1981,10,0
248,13,14,0,0,11,1981,10,0
249,13,14,0,0,11,1981,10,0
250,13,14,0,0,11,1981,10,0
251,13,14,0,0,11,1981,10,0
252,14,13,0,0,12,1981,10,0
253,14,13,0,0,12,1981,10,0
254,14,13,0,0,12,1981,10,0
255,15,12,0,0,13,1981,10,0
256,15,12,0,0,13,1981,10,0
257,15,12,0,0,13,1981,10,0
258,15,12,0,0,13,1981,10,0
259,15,12,0,0,13,1981,10,0
260,15,13,0,0,13,1980,10,0
261,15,13,0,0,13,1980,10,0
262,15,14,0,0,13,1979,10,0
263,15,14,0,0,13,1979,10,0
264,15,15,0,0,13,1978,10,0
265,15,15,0,0,13,1978,10,0
266,15,15,0,0,13,1978,10,0
267,15,16,0,0,13,1977,10,0
268,15,16,0,0,13,1977,10,0
269,15,16,0,0,13,1977,10,0
270,15,16,0,0,13,1977,10,0
271,15,16,0,0,13,1977,10,0
272,15,16,0,0,13,1977,10,0
273,15,16,0,0,13,1977,10,0
274,15,16,0,0,13,1977,10,0
275,15,16,0,0,13,1977,10,0
276,15,16,0,0,13,1977,10,0
277,15,16,0,0,13,1977,10,0
278,15,16,0,0,13,1977,10,0
279,15,16,0,0,13,1977,10,0
280,15,16,0,0,13,1977,10,0
281,15,16,0,0,13,1977,10,0
282,15,17,0,0,13,1976,10,0
283,15,17,0,0,13,1976,10,0
