step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents
450,59,51,0,0,44
451,59,51,0,0,44
452,59,52,0,0,44
453,59,55,0,0,44
454,59,55,0,0,44
455,60,55,0,0,44
456,62,56,0,0,46
457,62,56,0,0,46
458,62,56,0,0,46
459,63,55,0,0,47
460,63,57,0,0,47
461,63,57,0,0,47
462,63,57,0,0,47
463,63,57,0,0,47
464,63,57,0,0,47
465,64,56,0,0,48
466,64,56,0,0,48
467,64,56,0,0,48
468,64,56,0,0,48
469,64,57,0,0,48
470,65,56,0,0,49
471,65,57,0,0,49
472,65,57,0,0,49
473,66,56,0,0,49
474,68,54,0,0,50
475,68,54,0,0,50
476,68,54,0,0,50
477,68,56,0,0,50
478,68,56,0,0,50
479,69,55,0,0,51
480,70,54,0,0,52
481,70,55,0,0,52
482,70,56,0,0,52
483,70,56,0,0,52
484,70,56,0,0,52
485,70,56,0,0,52
486,70,56,0,0,52
487,70,56,0,0,52
488,70,56,0,0,52
489,70,56,0,0,52
490,70,56,0,0,52
491,70,57,0,0,52
492,70,57,0,0,52
493,71,56,0,0,53
494,72,55,0,0,53
495,72,55,0,0,53
496,73,55,0,0,53
497,73,57,0,0,53
498,73,57,0,0,53
499,73,58,0,0,53
500,74,57,0,0,53
501,74,58,0,0,53
502,74,58,0,0,53
503,74,58,0,0,53
504,74,59,0,0,53
505,74,59,0,0,53
506,74,59,0,0,53
507,74,60,0,0,53
508,74,60,0,0,53
509,74,61,0,0,53
510,76,61,0,0,54
511,76,61,0,0,54
512,76,61,0,0,54
513,76,61,0,0,54
514,76,61,0,0,54
515,77,60,0,0,55
516,77,60,0,0,55
517,77,60,0,0,55
518,78,60,0,0,56
519,78,60,0,0,56
520,78,61,0,0,56
521,78,62,0,0,56
522,79,61,0,0,57
523,80,61,0,0,57
524,80,61,0,0,57
525,80,61,0,0,57
526,80,62,0,0,57
527,80,62,0,0,56
528,80,64,0,0,56
529,80,64,0,0,56
530,80,65,0,0,56
531,81,64,0,0,57
532,81,64,0,0,57
533,80,65,0,1,57
534,80,66,0,1,57
535,80,66,0,1,57
536,80,67,0,1,57
537,80,67,0,1,57
538,80,67,0,1,57
539,80,67,0,1,57
540,80,67,0,1,57
541,80,67,0,1,57
542,80,68,0,1,57
543,80,69,0,1,57
