step,infected_agents,exposed_agents,recovered_agents,dead_agents,asympt_agents,suscept_agents,hospital_beds,icu_beds
209,23,27,0,0,21,1971,10,0
210,23,27,0,0,21,1971,10,0
211,23,28,0,0,21,1970,10,0
212,23,28,0,0,21,1970,10,0
213,23,28,0,0,21,1970,10,0
214,23,28,0,0,21,1970,10,0
215,23,29,0,0,21,1969,10,0
216,23,29,0,0,21,1969,10,0
217,23,29,0,0,21,1969,10,0
218,24,28,0,0,22,1969,10,0
219,24,28,0,0,22,1969,10,0
220,24,28,0,0,22,1969,10,0
221,24,28,0,0,22,1969,10,0
222,24,28,0,0,22,1969,10,0
223,24,29,0,0,22,1968,10,0
224,24,30,0,0,22,1967,10,0
225,24,30,0,0,22,1967,10,0
226,24,30,0,0,22,1967,10,0
227,24,30,0,0,22,1967,10,0
228,24,30,0,0,22,1967,10,0
229,24,31,0,0,22,1966,10,0
230,24,32,0,0,22,1965,10,0
231,24,32,0,0,22,1965,10,0
232,24,32,0,0,22,1965,10,0
233,25,31,0,0,22,1965,10,0
234,25,31,0,0,22,1965,10,0
235,25,31,0,0,22,1965,10,0
236,25,31,0,0,22,1965,10,0
237,25,31,0,0,22,1965,10,0
238,25,31,0,0,22,1965,10,0
239,25,31,0,0,22,1965,10,0
240,25,31,0,0,22,1965,10,0
241,25,32,0,0,22,1964,10,0
242,25,32,0,0,22,1964,10,0
243,25,32,0,0,22,1964,10,0
244,25,33,0,0,22,1963,10,0
245,26,32,0,0,23,1963,10,0
246,26,32,0,0,23,1963,10,0
247,26,32,0,0,23,1963,10,0
248,26,32,0,0,23,1963,10,0
249,26,33,0,0,23,1962,10,0
250,26,33,0,0,23,1962,10,0
251,26,33,0,0,23,1962,10,0
252,26,33,0,0,23,1962,10,0
253,26,33,0,0,23,1962,10,0
254,26,33,0,0,23,1962,10,0
255,26,33,0,0,23,1962,10,0
256,26,33,0,0,23,1962,10,0
257,26,34,0,0,23,1961,10,0
258,27,34,0,0,24,1960,10,0
259,27,34,0,0,24,1960,10,0
260,27,34,0,0,24,1960,10,0
261,27,34,0,0,24,1960,10,0
262,27,34,0,0,24,1960,10,0
263,27,34,0,0,24,1960,10,0
264,27,35,0,0,24,1959,10,0
265,27,35,0,0,24,1959,10,0
266,27,35,0,0,24,1959,10,0
267,27,35,0,0,24,1959,10,0
268,27,35,0,0,24,1959,10,0
269,29,33,0,0,25,1959,10,0
270,29,33,0,0,25,1959,10,0
271,29,34,0,0,25,1958,10,0
272,29,34,0,0,25,1958,10,0
273,29,34,0,0,25,1958,10,0
274,29,34,0,0,25,1958,10,0
275,29,35,0,0,24,1957,10,0
276,29,35,0,0,24,1957,10,0
277,29,35,0,0,24,1957,10,0
278,29,35,0,0,24,1957,10,0
279,29,35,0,0,24,1957,10,0
280,29,35,0,0,24,1957,10,0
